Lat,Long,Heading,COG,SOG
76.545659,-68.904688,359.3,184.1,0
76.545659,-68.904687,359.3,188.6,0
76.545658,-68.904686,359.3,182.8,0
76.545658,-68.904683,359.3,216.4,0
76.545658,-68.904682,359.2,167.8,0
76.545658,-68.904681,359.2,162.3,0
76.545658,-68.904679,359.2,176.2,0
76.545657,-68.904679,359.3,165.2,0
76.545657,-68.904679,359.3,182.1,0
76.545657,-68.904679,359.3,138.9,0
76.545657,-68.904678,359.2,186,0
76.545656,-68.904677,359.2,151.7,0
76.545656,-68.904676,359.3,194.4,0
76.545655,-68.904675,359.3,181.3,0
76.545655,-68.904674,359.3,150.9,0
76.545655,-68.904672,359.3,147.4,0
76.545654,-68.904671,359.3,163.8,0
76.545654,-68.90467,359.4,180.8,0
76.545653,-68.904669,359.5,156.4,0
76.545653,-68.904668,359.5,170.5,0
76.545652,-68.904666,359.5,149.2,0
76.545652,-68.904665,359.4,191.4,0
76.545652,-68.904663,359.5,161.2,0
76.545651,-68.904662,359.6,189.5,0
76.545651,-68.90466,359.7,151.8,0
76.54565,-68.904658,359.7,157,0
76.54565,-68.904656,359.7,167.2,0
76.545649,-68.904654,359.7,130.4,0
76.545649,-68.904653,359.8,167.6,0
76.545649,-68.904652,359.8,177.1,0
76.545648,-68.90465,359.7,149.8,0
76.545648,-68.904649,359.7,112.5,0
76.545648,-68.904647,359.7,180.7,0
76.545647,-68.904645,359.8,99.4,0
76.545647,-68.904644,359.8,191.4,0
76.545646,-68.904642,359.7,139.3,0
76.545646,-68.904641,359.7,175.4,0
76.545646,-68.904639,359.8,167.6,0
76.545645,-68.904639,359.8,186.8,0
76.545645,-68.904638,359.8,158.7,0
76.545644,-68.904638,359.7,171.8,0
76.545644,-68.904636,359.6,125.4,0
76.545644,-68.904635,359.7,123.8,0
76.545644,-68.904634,359.7,213.3,0
76.545643,-68.904633,359.7,167.4,0
76.545643,-68.904632,359.7,202.4,0
76.545643,-68.904631,359.6,138.3,0
76.545642,-68.904631,359.6,180.2,0
76.545642,-68.90463,359.6,131.7,0
76.545642,-68.90463,359.6,206.1,0
76.545641,-68.904629,359.5,178.6,0
76.545641,-68.904628,359.5,147.3,0
76.54564,-68.904626,359.5,138.7,0
76.54564,-68.904625,359.4,187.9,0
76.54564,-68.904624,359.4,140.4,0
76.545639,-68.904624,359.4,169.4,0
76.545639,-68.904623,359.4,187.3,0
76.545639,-68.904622,359.4,123.9,0
76.545638,-68.904622,359.4,152.6,0
76.545638,-68.904621,359.3,134.5,0
76.545638,-68.90462,359.3,110.7,0
76.545637,-68.904619,359.3,177.3,0
76.545637,-68.904618,359.3,116.1,0
76.545636,-68.904618,359.3,172.7,0
76.545636,-68.904616,359.3,152.4,0
76.545636,-68.904616,359.3,124.4,0
76.545635,-68.904615,359.3,127.9,0
76.545635,-68.904616,359.3,193.7,0
76.545634,-68.904614,359.3,156.5,0
76.545634,-68.904614,359.2,185.7,0
76.545634,-68.904613,359.3,171.5,0
76.545633,-68.904612,359.3,129.6,0
76.545633,-68.904611,359.4,193.4,0
76.545632,-68.904611,359.4,138.3,0
76.545632,-68.90461,359.4,184.4,0
76.545632,-68.90461,359.4,133,0
76.545631,-68.90461,359.4,169.5,0
76.545631,-68.90461,359.4,121.8,0
76.545631,-68.904609,359.5,223.6,0
76.54563,-68.904607,359.5,132.2,0
76.54563,-68.904607,359.4,223.5,0
76.545629,-68.904606,359.5,144.7,0
76.545629,-68.904607,359.5,220.4,0
76.545629,-68.904606,359.5,153.4,0
76.545628,-68.904606,359.5,198,0
76.545628,-68.904605,359.5,170.2,0
76.545627,-68.904605,359.5,145,0
76.545627,-68.904604,359.4,169.2,0
76.545626,-68.904604,359.4,134.1,0
76.545626,-68.904603,359.4,212.1,0
76.545625,-68.904602,359.4,154.1,0
76.545625,-68.904602,359.4,203.2,0
76.545624,-68.904601,359.4,138.5,0
76.545624,-68.904603,359.4,235.1,0
76.545623,-68.904603,359.3,198.8,0
76.545623,-68.904603,359.3,121.9,0
76.545622,-68.904603,359.3,206.5,0
76.54562,-68.904603,359.3,119.5,0
76.54562,-68.904603,359.2,174.5,0
76.54562,-68.904602,359.2,217.4,0
76.545619,-68.904602,359.3,158.1,0
76.545619,-68.904602,359.3,225.5,0
76.545618,-68.904602,359.3,163.4,0
76.545618,-68.904602,359.2,210.2,0
76.545618,-68.904602,359.2,169.7,0
76.545617,-68.904602,359.2,181.7,0
76.545617,-68.904601,359.2,150.6,0
76.545616,-68.904601,359.2,211.8,0
76.545616,-68.9046,359.2,151.6,0
76.545616,-68.9046,359.2,201.8,0
76.545615,-68.904599,359.2,133.2,0
76.545615,-68.9046,359.1,209.7,0
76.545615,-68.904601,359.1,177.4,0
76.545614,-68.904602,359.1,205,0
76.545614,-68.904602,359,207.6,0
76.545614,-68.904602,359,207.7,0
76.545614,-68.904602,359,186.9,0
76.545614,-68.904602,359,205.8,0
76.545613,-68.904602,359,172.6,0
76.545613,-68.904603,359,235.3,0
76.545613,-68.904603,359,238.1,0
76.545613,-68.904604,358.9,179.1,0
76.545613,-68.904604,358.9,252.6,0
76.545613,-68.904604,358.8,222.5,0
76.545613,-68.904604,358.9,198.1,0
76.545612,-68.904605,358.9,243.6,0
76.545612,-68.904605,358.9,241.4,0
76.545612,-68.904605,358.9,234.8,0
76.545612,-68.904606,358.9,265.8,0
76.545612,-68.904606,358.9,208.1,0
76.545612,-68.904607,358.9,211.9,0
76.545611,-68.904608,358.9,204,0
76.545611,-68.904608,358.8,195,0
76.545611,-68.904609,358.8,226.7,0
76.545611,-68.904609,358.8,234.9,0
76.545611,-68.90461,358.8,202.3,0
76.545611,-68.904611,358.8,253.9,0
76.54561,-68.904612,358.8,289.9,0
76.54561,-68.904613,358.7,290.7,0
76.54561,-68.904614,358.7,249.9,0
76.54561,-68.904615,358.7,238.4,0
76.54561,-68.904616,358.8,252.5,0
76.545609,-68.904617,358.8,239.7,0
76.545609,-68.904618,358.9,156.9,0
76.545609,-68.90462,358.9,245.4,0
76.545609,-68.904621,359,248.5,0
76.545608,-68.904623,359,245.3,0
76.545608,-68.904625,358.9,261.3,0
76.545607,-68.904626,358.9,284.1,0
76.545607,-68.904629,358.9,278,0
76.545607,-68.904631,359,269.6,0
76.545607,-68.904632,359,256.8,0
76.545607,-68.904634,359,281.3,0
76.545606,-68.904635,359,302.7,0
76.545607,-68.904638,358.9,280.3,0
76.545607,-68.90464,359,308,0
76.545607,-68.904642,359,248.2,0
76.545607,-68.904643,359,263.8,0
76.545606,-68.904645,359,281.1,0
76.545606,-68.904647,359,289,0
76.545606,-68.904649,359,276.6,0
76.545606,-68.90465,359,295.7,0
76.545607,-68.904652,359,263.9,0
76.545607,-68.904655,359,217.5,0
76.545607,-68.904657,359,272.8,0
76.545608,-68.904658,359,298.4,0
76.545608,-68.904659,359,291.9,0
76.545608,-68.904659,359,281.7,0
76.545608,-68.904661,359,283.4,0
76.545608,-68.904662,359,210.6,0
76.545609,-68.904664,359.1,267.8,0
76.545609,-68.904665,359.1,295.7,0
76.545609,-68.904667,359.1,263.8,0
76.54561,-68.904669,359.2,297,0
76.54561,-68.90467,359.2,357.3,0
76.54561,-68.904671,359.3,275.9,0
76.54561,-68.904672,359.3,331.8,0
76.54561,-68.904675,359.3,303.2,0
76.545611,-68.904676,359.4,321.8,0
76.545611,-68.904678,359.4,273.8,0
76.545611,-68.904679,359.5,311.8,0
76.545611,-68.904681,359.5,304,0
76.545611,-68.904683,359.5,289.1,0
76.545612,-68.904685,359.5,315.4,0
76.545612,-68.904686,359.6,311.9,0
76.545611,-68.904688,359.8,259.5,0
76.545611,-68.904689,359.9,296.9,0
76.545611,-68.904691,359.9,321,0
76.545612,-68.904692,359.9,296.8,0
76.545612,-68.904693,359.9,335.8,0
76.545612,-68.904694,0,306.3,0
76.545613,-68.904695,0.1,323.1,0
76.545613,-68.904696,0.3,302.9,0
76.545614,-68.904697,0.3,320.2,0
76.545614,-68.904699,0.3,288.3,0
76.545615,-68.904701,0.3,0.3,0
76.545615,-68.904702,0.4,291.9,0
76.545616,-68.904702,0.5,342.9,0
76.545616,-68.904704,0.5,322.3,0
76.545617,-68.904704,0.6,355.5,0
76.545617,-68.904705,0.6,317.6,0
76.545618,-68.904706,0.5,345,0
76.545619,-68.904707,0.5,313.3,0
76.545619,-68.904707,0.5,349.3,0
76.54562,-68.904709,0.6,328.5,0
76.545621,-68.904709,0.7,341.2,0
76.545621,-68.90471,0.7,342.5,0
76.545622,-68.904711,0.8,315.4,0
76.545622,-68.904712,0.8,324.7,0
76.545623,-68.904714,0.8,320.8,0
76.545623,-68.904715,0.9,355.7,0
76.545623,-68.904716,1,329.5,0
76.545624,-68.904717,1,328.2,0
76.545624,-68.904719,1.1,303.5,0
76.545624,-68.90472,1.1,6.7,0
76.545625,-68.904721,1.2,302.8,0
76.545625,-68.904722,1.4,311.4,0
76.545625,-68.904724,1.6,308.5,0
76.545626,-68.904725,1.7,309.7,0
76.545626,-68.904727,1.7,353.1,0
76.545626,-68.904729,1.8,285.8,0
76.545626,-68.904729,1.9,350.9,0
76.545627,-68.90473,2.1,314.2,0
76.545627,-68.904731,2.3,338.6,0
76.545628,-68.904733,2.4,320.5,0
76.545628,-68.904734,2.5,355.4,0
76.545628,-68.904735,2.5,275.1,0
76.545629,-68.904735,2.5,296.1,0
76.545629,-68.904736,2.5,324.9,0
76.545629,-68.904737,2.6,26.4,0
76.54563,-68.904738,2.7,320.4,0
76.54563,-68.90474,2.7,347.6,0
76.54563,-68.90474,2.7,347.6,0
76.545631,-68.904742,2.8,347.5,0
76.545631,-68.904743,2.9,321.4,0
76.545631,-68.904743,3,285.8,0
76.545632,-68.904743,3.1,346.1,0
76.545632,-68.904743,3.2,344.3,0
76.545633,-68.904744,3.3,349.6,0
76.545633,-68.904744,3.3,349.6,0
76.545633,-68.904745,3.5,347.7,0
76.545633,-68.904746,3.6,357.7,0
76.545634,-68.904745,3.6,28.5,0
76.545634,-68.904744,3.6,5.5,0
76.545635,-68.904744,3.6,9.4,0
76.545635,-68.904744,3.7,351.6,0
76.545635,-68.904744,3.8,358.7,0
76.545636,-68.904745,3.9,300.1,0
76.545636,-68.904745,4.1,124.8,0
76.545636,-68.904746,4.1,33.7,0
76.545637,-68.904745,4.2,16.1,0
76.545637,-68.904745,4.3,309.4,0
76.545637,-68.904744,4.4,171.5,0
76.545638,-68.904745,4.6,352.5,0
76.545638,-68.904745,4.6,3.4,0
76.545638,-68.904746,4.7,185.5,0
76.545638,-68.904746,4.8,277.8,0
76.545639,-68.904746,4.8,225.3,0
76.545639,-68.904746,4.9,350,0
76.545639,-68.904745,4.9,351.6,0
76.545639,-68.904746,4.9,305.6,0
76.545639,-68.904746,5,42,0
76.54564,-68.904748,5.2,13.2,0
76.54564,-68.904748,5.3,20.3,0
76.54564,-68.904748,5.4,314.5,0
76.54564,-68.904747,5.5,349.1,0
76.545641,-68.904747,5.5,358.1,0
76.545641,-68.904746,5.5,31,0
76.545641,-68.904746,5.6,44.4,0
76.545642,-68.904746,5.6,12.8,0
76.545642,-68.904746,5.6,277.2,0
76.545642,-68.904745,5.7,76.2,0
76.545642,-68.904743,5.8,357.1,0
76.545642,-68.904742,5.8,328.3,0
76.545643,-68.904742,5.8,39.2,0
76.545643,-68.904742,5.8,306.2,0
76.545643,-68.904742,5.9,280.6,0
76.545643,-68.904744,5.9,75.7,0
76.545643,-68.904744,5.9,76.9,0
76.545643,-68.904744,5.9,349.3,0
76.545644,-68.904743,6,288.2,0
76.545644,-68.904743,6,231.9,0
76.545644,-68.904743,6,310.1,0
76.545644,-68.904744,6,320.3,0
76.545645,-68.904744,5.9,48,0
76.545645,-68.904745,6,13.1,0
76.545645,-68.904744,6,25.1,0
76.545646,-68.904745,6,320.2,0
76.545646,-68.904744,6,8.9,0
76.545647,-68.904745,6,340.8,0
76.545647,-68.904745,6,41.4,0
76.545647,-68.904746,6.1,218.7,0
76.545648,-68.904746,6.1,182.4,0
76.545649,-68.904745,6.1,308.1,0
76.545649,-68.904745,6.1,336.1,0
76.545649,-68.904744,6.1,85.9,0
76.545649,-68.904744,6.1,85.9,0
76.54565,-68.904744,6.1,359.6,0
76.54565,-68.904745,6.1,342.4,0
76.54565,-68.904745,6.2,31.7,0
76.54565,-68.904745,6.3,38.7,0
76.545651,-68.904745,6.4,17.5,0
76.545651,-68.904746,6.4,4.2,0
76.545651,-68.904746,6.5,15.8,0
76.545651,-68.904746,6.5,33.3,0
76.545652,-68.904747,6.5,34.8,0
76.545652,-68.904747,6.6,17.3,0
76.545652,-68.904747,6.7,347,0
76.545652,-68.904746,6.7,315.5,0
76.545653,-68.904745,6.7,261.7,0
76.545653,-68.904745,6.7,34.6,0
76.545653,-68.904745,6.8,336.2,0
76.545653,-68.904746,6.9,24.9,0
76.545653,-68.904746,6.9,59.3,0
76.545653,-68.904745,7,295.8,0
76.545653,-68.904745,7.1,214,0
76.545653,-68.904745,7.1,185.3,0
76.545653,-68.904745,7.2,95.1,0
76.545653,-68.904745,7.2,290.5,0
76.545653,-68.904746,7.2,293.2,0
76.545653,-68.904747,7.2,167.4,0
76.545653,-68.904747,7.2,355.1,0
76.545653,-68.904747,7.2,254,0
76.545653,-68.904746,7.2,93.4,0
76.545653,-68.904747,7.2,274.5,0
76.545653,-68.904747,7.2,231.2,0
76.545653,-68.904748,7.2,201.7,0
76.545653,-68.904747,7.2,324.2,0
76.545653,-68.904748,7.2,282.7,0
76.545653,-68.904747,7.2,200.3,0
76.545653,-68.904747,7.2,331.5,0
76.545653,-68.904748,7.2,236.5,0
76.545653,-68.904748,7.2,336.6,0
76.545653,-68.904749,7.2,265,0
76.545653,-68.904749,7.2,349.9,0
76.545653,-68.904749,7.2,88.3,0
76.545653,-68.904749,7.2,254,0
76.545653,-68.904748,7.1,134.4,0
76.545653,-68.904748,7,219.7,0
76.545653,-68.904748,7,313.6,0
76.545653,-68.904748,7.1,260.1,0
76.545653,-68.904748,7.2,247.9,0
76.545653,-68.904747,7.2,202.4,0
76.545653,-68.904748,7.2,82.8,0
76.545653,-68.904748,7.2,279.2,0
76.545653,-68.904748,7.2,305.8,0
76.545653,-68.904749,7.1,250.1,0
76.545653,-68.90475,7.1,262.2,0
76.545653,-68.90475,7.1,29.4,0
76.545653,-68.904751,7.1,284.7,0
76.545653,-68.904751,7,211.7,0
76.545653,-68.904752,7,259.5,0
76.545653,-68.904752,6.9,247.2,0
76.545653,-68.904753,6.9,127.6,0
76.545653,-68.904753,6.8,272.7,0
76.545653,-68.904753,6.8,165.5,0
76.545653,-68.904755,6.8,258.3,0
76.545652,-68.904754,6.8,162.3,0
76.545652,-68.904756,6.8,256.9,0
76.545652,-68.904755,6.7,222.6,0
76.545652,-68.904756,6.7,165,0
76.545652,-68.904757,6.7,261.7,0
76.545652,-68.904758,6.7,194.5,0
76.545652,-68.904759,6.7,274.8,0
76.545652,-68.90476,6.6,237.7,0
76.545652,-68.904761,6.4,232.7,0
76.545652,-68.904763,6.4,127.5,0
76.545651,-68.904764,6.3,275,0
76.545651,-68.904765,6.4,153.8,0
76.545651,-68.904766,6.4,239.2,0
76.54565,-68.904766,6.3,149.5,0
76.54565,-68.90477,6.2,190.1,0
76.54565,-68.904768,6.1,202.2,0
76.54565,-68.90477,6,205.9,0
76.545649,-68.90477,5.9,208.9,0
76.545649,-68.904771,5.9,224.7,0
76.545648,-68.904772,5.8,208.3,0
76.545648,-68.904774,5.7,182.3,0
76.545647,-68.904774,5.6,180.1,0
76.545647,-68.904776,5.5,223,0
76.545646,-68.904777,5.5,212.7,0
76.545645,-68.904779,5.4,205.8,0
76.545645,-68.90478,5.3,196.1,0
76.545644,-68.904782,5.3,183.2,0
76.545644,-68.904783,5.2,199.5,0
76.545643,-68.904785,5.2,198.7,0
76.545643,-68.904787,5.2,224.8,0.1
76.545642,-68.904788,5.1,211.1,0
76.545642,-68.904789,5.1,221,0
76.545641,-68.90479,5.1,184.2,0
76.54564,-68.904791,5,232.4,0
76.54564,-68.904792,5,164.1,0
76.54564,-68.904794,4.9,212.3,0
76.545639,-68.904795,4.8,169.7,0
76.545639,-68.904797,4.8,230.1,0
76.545639,-68.904797,4.8,203.5,0
76.545638,-68.904798,4.8,228.6,0
76.545638,-68.904798,4.7,191.2,0
76.545637,-68.904801,4.6,226.2,0
76.545637,-68.904801,4.6,201,0
76.545637,-68.904803,4.6,237,0
76.545637,-68.904803,4.6,214,0
76.545636,-68.904804,4.5,230.9,0
76.545636,-68.904806,4.5,211.8,0
76.545635,-68.904808,4.3,201.9,0
76.545635,-68.90481,4.3,249.1,0.1
76.545635,-68.904811,4.2,218.5,0
76.545634,-68.904812,4.2,228.1,0
76.545634,-68.904813,4.2,183.4,0
76.545634,-68.904816,4.2,235.1,0
76.545633,-68.904818,4.1,226.4,0
76.545633,-68.90482,4.1,232.1,0
76.545632,-68.904821,4,233.7,0
76.545632,-68.904823,4,247.7,0
76.545632,-68.904824,4,218.9,0
76.545632,-68.904827,4,239.9,0
76.545631,-68.904828,4,250.2,0
76.545631,-68.904831,4,239.4,0
76.545631,-68.904832,3.9,236,0
76.54563,-68.904833,3.8,227.4,0
76.54563,-68.904835,3.8,252,0
76.54563,-68.904837,3.8,230.5,0
76.54563,-68.904839,3.8,233.2,0
76.545629,-68.904842,3.7,230.3,0
76.545629,-68.904845,3.6,254.9,0
76.545629,-68.904846,3.6,240.9,0
76.545628,-68.904848,3.6,227,0
76.545628,-68.904849,3.6,247.8,0
76.545627,-68.904852,3.5,221.7,0
76.545627,-68.904854,3.4,244.7,0
76.545627,-68.904857,3.4,224.1,0
76.545627,-68.90486,3.3,259.6,0.1
76.545627,-68.904862,3.3,153.2,0
76.545626,-68.904864,3.3,261,0.1
76.545626,-68.904865,3.3,179.1,0
76.545626,-68.904869,3.3,239.9,0.1
76.545626,-68.904871,3.4,271.9,0
76.545625,-68.904875,3.4,230.3,0
76.545625,-68.904877,3.4,219,0
76.545625,-68.90488,3.4,271.1,0
76.545625,-68.904882,3.3,254.7,0
76.545625,-68.904884,3.3,179.8,0
76.545624,-68.904888,3.4,250.1,0
76.545624,-68.904889,3.4,247.7,0
76.545624,-68.904892,3.4,243.6,0
76.545624,-68.904894,3.5,235.5,0
76.545624,-68.904897,3.5,226.6,0
76.545623,-68.9049,3.6,264.9,0
76.545623,-68.904902,3.6,234,0
76.545623,-68.904904,3.7,234.4,0.1
76.545623,-68.904906,3.7,186.1,0
76.545622,-68.904909,3.7,246.9,0
76.545622,-68.90491,3.8,191,0
76.545622,-68.904914,3.8,290.5,0
76.545622,-68.904916,3.9,247.3,0
76.545622,-68.904919,4,234.5,0
76.545622,-68.90492,4,242.6,0
76.545622,-68.904922,4,203.6,0
76.545622,-68.904924,4.1,247.4,0
76.545621,-68.904925,4.2,259.2,0
76.545621,-68.904927,4.3,248.8,0
76.545621,-68.904929,4.3,250.4,0
76.54562,-68.904932,4.3,234.1,0
76.54562,-68.904933,4.3,218.8,0
76.54562,-68.904934,4.4,195,0
76.54562,-68.904936,4.4,233,0
76.545619,-68.904937,4.5,158.1,0
76.545619,-68.904938,4.5,236.9,0
76.545619,-68.904939,4.6,141.7,0
76.545619,-68.90494,4.6,254.9,0
76.545618,-68.90494,4.5,164.9,0
76.545618,-68.904942,4.4,229.2,0
76.545617,-68.904944,4.5,220,0
76.545617,-68.904946,4.5,237.6,0
76.545617,-68.904946,4.6,171.4,0
76.545616,-68.904947,4.6,247.2,0
76.545616,-68.904948,4.6,166.6,0
76.545616,-68.904949,4.7,240.5,0
76.545615,-68.90495,4.7,188.4,0
76.545615,-68.904951,4.8,263.4,0
76.545615,-68.904951,4.8,191.2,0
76.545615,-68.904952,4.9,215.5,0
76.545615,-68.904953,4.9,221.4,0
76.545615,-68.904954,4.9,313.5,0
76.545615,-68.904954,5,192.8,0
76.545615,-68.904954,5,244.5,0
76.545615,-68.904955,5,205.4,0
76.545615,-68.904955,5,199.2,0
76.545615,-68.904956,5.1,221.8,0
76.545615,-68.904957,5.1,274.8,0
76.545615,-68.904957,5.1,236.3,0
76.545615,-68.904958,5.1,259.6,0
76.545615,-68.904958,5.2,196.8,0
76.545615,-68.904959,5.2,296.8,0
76.545615,-68.904959,5.3,151.4,0
76.545615,-68.904961,5.3,260.5,0
76.545616,-68.904961,5.4,157.1,0
76.545616,-68.904963,5.5,287.7,0
76.545616,-68.904963,5.6,224.1,0
76.545616,-68.904965,5.6,286.2,0
76.545616,-68.904965,5.7,260.3,0
76.545617,-68.904967,5.7,282.6,0
76.545617,-68.904967,5.8,314.5,0
76.545617,-68.904969,5.8,214.9,0
76.545617,-68.904971,5.9,281.4,0
76.545618,-68.904971,5.9,175.9,0
76.545618,-68.904973,5.9,251.2,0
76.545618,-68.904974,6,243.6,0
76.545619,-68.904976,6,287.7,0
76.545619,-68.904976,6,313.4,0
76.545619,-68.904978,6.1,279.3,0
76.54562,-68.904977,6.1,289.3,0
76.54562,-68.904979,6.2,270.7,0
76.54562,-68.904981,6.3,310.8,0
76.54562,-68.904983,6.4,311.8,0
76.54562,-68.904984,6.4,288,0
76.545621,-68.904985,6.5,310.6,0
